"pr_id";"pr_fk_marca";"pr_nombre";"pr_cantidad";"pr_codigo";"pr_activos";"pr_salida";"pr_valor";"pr_adquisicion";"pr_fk_empresa"
226;10;"RALLY CHEVROTET CAPTIVA";0;"1";0;0;1.0;1.0;1
227;10;"PASTILLAS RALLY 7939";0;"7939";0;0;1.0;1.0;1
228;10;"PASTILLAS RALLY 7563";0;"7563";0;0;1.0;1.0;1
229;10;"PASTILLAS RALLY 8381";0;"8381";0;0;1.0;1.0;1
230;10;"PASTILLAS RALLY 8310";0;"8310";0;0;1.0;1.0;1
231;10;"PASTILLAS RALLY 8329";0;"8329";0;0;1.0;1.0;1
232;10;"PASTILLAS HI-Q SP1249";0;"8809409031873";0;0;1.0;1.0;1
233;10;"PASTILLAS HI-Q 1156";0;"1156";0;0;1.0;1.0;1
234;10;"PASTILLAS HI-Q SP1390";0;"1390";0;0;1.0;1.0;1
235;10;"PASTILLAS HI-Q 2203";0;"2203";0;0;1.0;1.0;1
236;10;"PASTILLAS HI-Q SP1564";0;"SP1564";0;0;1.0;1.0;1
237;10;"PASTILLAS HI-Q SP1250";0;"SP1250";0;0;1.0;1.0;1
238;10;"PASTILLAS HI-Q SP1243";0;"SP1243";0;0;1.0;1.0;1
239;10;"PASTILLAS HI-Q SA184";0;"SA184";0;0;1.0;1.0;1
240;10;"PASTILLAS HI-Q SP1391";0;"SP1391";0;0;1.0;1.0;1
241;10;"PASTILLAS MOTRIO 101";0;"771137559101";0;0;1.0;1.0;1
242;10;"PASTILLAS MOTRIO 592";0;"7711375592";0;0;1.0;1.0;1
243;10;"PASTILLAS MOTRIO 591";0;"7711375591";0;0;1.0;1.0;1
244;10;"PASTILLAS BOSCH 301";0;"1";0;0;1.0;1.0;1
245;10;"PASTILLAS BOSCH 001";0;"001";0;0;1.0;1.0;1
246;10;"JUEGOS DE BANDAS RENAULT 1.6";0;"1";0;0;1.0;1.0;1
247;10;"BANDAS DUSTER 2.0 EXTENDED";0;"611150100399";0;0;1.0;1.0;1
248;2;"BOMBAS DE AGUA DUSTER 2.0";0;"77014790431";-4;4;1.0;1.0;1
249;2;"CLUTCH DUSTER 2.0";0;"302051060r1";0;0;1.0;1.0;1
250;2;"BALIBOMBA DUSTER 2.0";0;"306202899r1";-2;2;1.0;1.0;1
251;2;"BOMBAS DE AGUA TWINGO";0;"210101832r1";0;0;1.0;1.0;1
252;2;"CLUTCH RENAULT SANDERO";0;"302051060r1";0;0;1.0;1.0;1
253;2;"BASES TERMOSTATO RENAULT ";0;"82005614201";-2;2;1.0;1.0;1
254;2;"TENSORES MEGANE 2";0;"11955ja00c1";0;0;1.0;1.0;1
255;2;"CORREA REPARTICION SANDERO";0;"77014770241";0;0;1.0;1.0;1
256;2;"CORREA DE REPARTICION LOGAN";0;"130c17480r1";0;0;1.0;1.0;1
257;2;"BOMBAS DE COMBUSTIBLE BOSCH DUSTER 2.0";0;"14587541257545445478424";0;0;1.0;1.0;1
258;2;"ALTERNADOR DUSTER 2.0";0;"1";-2;2;1.0;1.0;1
259;2;"RODAMIENTOS FRENOS ABS DUSTER 2.0";0;"8435101350877";0;0;1.0;1.0;1
260;2;"TIJERA DELANTERA-DERECHA DUSTER";0;"1";-2;2;1.0;1.0;1
261;2;"JUEGOS CAUCHOS BOBINAS DUSTER";0;"1";0;0;1.0;1.0;1
262;2;"FILTRO DE AIRE RENAULT TWINGO";0;"4250456270069";0;0;1.0;1.0;1
263;2;"FILTRO DE AIRE TWINGO MONOPUNTO";0;"1";0;0;1.0;1.0;1
264;2;"FILTRO AIRE LOGAN-SANDERO";0;"MFA140";0;0;1.0;1.0;1
265;2;"FILTRO DE AIRE MEGANE 2";0;"8200371661";0;0;1.0;1.0;1
266;2;"FILTRO DE AIRE ESP A0436 DUSTER 2.0";0;"A0436";0;0;1.0;1.0;1
267;2;"FILTRO DE AIRE RENAULT SANDERO";0;"MKPF670";0;0;1.0;1.0;1
268;2;"FILTRO DE AIRE RENAULT 9";0;"1";0;0;1.0;1.0;1
269;2;"CORREA REPARTICION TWINGO 16 VALV";0;"1";0;0;1.0;1.0;1
270;2;"KIT CORREA ACCESORIOS MEGANE 2";0;"1";0;0;1.0;1.0;1
271;2;"FILTRO DE AIRE ACONDICIONADO LOGAN";0;"HB2029";0;0;1.0;1.0;1
272;2;"SOPORTES MOTOR TWINGO";0;"1";0;0;1.0;1.0;1
273;2;"JUEGO DE CAUCHOS CUERPO MARIPOSA DUSTER";0;"1";0;0;1.0;1.0;1
274;2;"EMPAQUETADURA CUERPO ADMISION DUSTER 2.0";0;"1";0;0;1.0;1.0;1
275;10;"INSTALACIONES DE ALTA VARIOS";0;"7594000132081";0;0;1.0;1.0;1
276;2;"LIGAS CUERPO ADMISION";0;"1";-2;2;1.0;1.0;1
277;2;"BASES TERMOSTATO MEGANE";0;"089";0;0;1.0;1.0;1
278;2;"JUEGOS CAUCHOS ESTABILIZADORA DUSTER";0;"111r";-2;2;1.0;1.0;1
279;2;"TIRANTAS ESTABILIZADORA DUSTER";0;"1 ";0;0;1.0;1.0;1
280;2;"JUEGO VALVULAS ESCAPE Y ADMISION SANDERO";0;"01I01108";0;0;1.0;1.0;1
281;2;"SOPORTES MEGANE";0;"01I03277";0;0;1.0;1.0;1
282;2;"TAPAS DUSTER 2.0";0;"82000480241";0;0;1.0;1.0;1
283;10;"SENSOR DE VELOCIDAD";0;"0";-3;3;0.0;0.0;1
284;10;"BATERIA 900 DUNCAN";0;"0";0;0;0.0;0.0;1
285;10;"PASTILLAS DE FRENO NOBEX";0;"0";0;0;0.0;0.0;1
286;10;"LIMPIADOR DE CARBURADOR";0;"0";0;0;0.0;0.0;1
287;10;"CAUCHOS TBI";0;"0";0;0;0.0;0.0;1
288;10;"SENSOR OXIGENO";0;"0";-9;9;0.0;0.0;1
289;10;"TIJERA IZQ DELANTERA";0;"0";-6;6;0.0;0.0;1
290;10;"BOBINA ENCENDIDO";0;"0";-52;52;0.0;0.0;1
291;10;"INYECTOR";0;"0";-24;24;0.0;0.0;1
292;10;"LIGAS TBI";0;"0";0;0;0.0;0.0;1
293;10;"T AGUA SISTEMA GAS";0;"0";0;0;0.0;0.0;1
294;10;"EMPAQUETADURA MOTOR ORIGINAL ";0;"0";-1;1;0.0;0.0;1
295;10;"SILICONA";0;"0";-1;1;0.0;0.0;1
